url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/lexus-es-69c581f12351b444472731,Lexus ES VII,23999,2098713,2021,90000,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/c/2/0/c20b125c79bbf7519162f7a70bac0b16_640x480.jpg
https://mashina.kg/details/genesis-gv80-6a06f46f7a8aaefc93c9efc4,Продажа Genesis GV80 I Рестайлинг 2023,40000,3498000,2023,22000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10033904/088fe3bb6b264658cc1a56cf672cc2d2_medium.webp
https://mashina.kg/details/bmw-x7-6a072bf5c705aa5c9a9c81cb,Продажа BMW X7 I (G07) 2020,35700,3121965,2020,220000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034143/63c34e3f2dc03ea6a903d1e4f960ce0b_medium.webp
https://mashina.kg/details/bmw-x5-69fffea832901420399530,BMW X5 III (F15),35500,3104475,2017,200000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/7/3/973720a8c8fd36da710d31fa8a76d5da_640x480.jpg
https://mashina.kg/details/kia-stinger-69c889deab0e2849411617,Kia Stinger I,18700,1635315,2018,104000,3.3 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/8/0/180e6a9c4c83da8e13ebce6b2c3d5881_640x480.jpg
https://mashina.kg/details/lexus-nx-6a07592bb8055db3c294107a,Продажа Lexus NX II 2023,35800,3130710,2023,28000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034319/dce064feaa800e284682c8d218253e5f_medium.webp
https://mashina.kg/details/cadillac-escalade-6a0984aafc6db3fe8d13bfb5,Продажа Cadillac Escalade IV 2020,55000,4809750,2020,121000,6.2 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035756/74221442f66fb96f0cd872425f619157_medium.webp
https://mashina.kg/details/toyota-camry-6a096b16163f86ccc0153d34,Продажа Toyota Camry IX (XV80) 2025,55000,4809750,2025,8500,2.5 л.,вариатор,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035606/bf6afc2c959ad09c54b0685f76006dcf_medium.webp
https://mashina.kg/details/nissan-patrol-6a070fe3017a2e817b407a62,Продажа Nissan Patrol V (Y61) 2003,22900,2002605,2003,240000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034032/2eff7b5c762341865b53779ee672f9bf_medium.webp
https://mashina.kg/details/bmw-x3-6a043ea898376f21caa60c54,Продажа BMW X3 III (G01) 2019,33000,2885850,2019,138000,2.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/10031161/4f441e7f699f1faf7372d05ebeb33244_medium.webp
https://mashina.kg/details/lexus-gx-6a03f8d3fbdd8588bfd7093a,Продажа Lexus GX I 2005,19500,1705275,2005,250000,4.7 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/10030777/cc51e8a62c09828227fbe55c52216f34_medium.webp
https://mashina.kg/details/bmw-7-serii-69d3b6186eb7e527217549,BMW 7 серии VI (G11/G12) Рестайлинг,44500,3891525,2020,55000,4.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/a/f/8/af8f3bbb351bea72d98ec0457db8645d_640x480.jpg
https://mashina.kg/details/toyota-kluger-6a087fa44fe87ef43f622316,Продажа Toyota Kluger I (XU20) Рестайлинг 2003,11500,1005675,2003,162000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-16/10035131/874eac8df4bce8101a7c8e2e099622f2_medium.webp
https://mashina.kg/details/kia-sorento-6a07122999a22ee340307e4f,Продажа Kia Sorento III Prime Рестайлинг 2020,13900,1215555,2020,120000,2.4 л.,автомат,Ош,https://storage.mashina.kg/catalog/images/2026-05-15/10034042/a1e407b8b83d7cf7a83f17ff56a3af90_medium.webp
https://mashina.kg/details/kia-k7-69fdfe7116d4b224478435,Kia K7 YG (II) Рестайлинг,17500,1530375,2020,98000,2.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/b/8/bb8ea0a2aa5989c8835e0d4c24e8e2b5_640x480.jpg
https://mashina.kg/details/hyundai-santa-fe-69fe00dca1879017988312,Hyundai Santa Fe IV,17200,1504140,2020,156000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/e/0/1e0b6866bc89c474dbccc9de36809fa1_640x480.jpg
https://mashina.kg/details/audi-a6-6a09bff48d12af36e10ec1a4,Продажа Audi A6 V (C8) Рестайлинг 2022,26000,2273700,2022,44700,2.0 л.,робот,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036058/003a8ee27a35037ae4752d9958c144db_medium.webp
https://mashina.kg/details/toyota-camry-69ff7ca22c30a296786945,Toyota Camry VIII (XV70) Рестайлинг,20000,1749000,2021,154500,2.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/5/c/4/5c428779f2e404b59be8aa3690a4bded_640x480.jpg
https://mashina.kg/details/bmw-ix1-69e9c769e8c9a581664158,BMW iX1,27500,2404875,2025,118,,,Бишкек,https://im.mashina.kg/tachka/images/d/a/f/dafda473b5f7b6e95db6a6725f7f8ccd_640x480.jpg
https://mashina.kg/details/lexus-es-69c925749de72314480122,Lexus ES VI Рестайлинг,27500,2404875,2017,100000,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/4/6/c/46c04d7192f865fea7c6b36889331e92_640x480.jpg
https://mashina.kg/details/honda-crv-69b8d82e112b8201884089,Honda CR-V III,11000,961950,2009,255000,2.4 л.,автомат,Кочкор-Ата,https://im.mashina.kg/tachka/images/a/d/4/ad497b07034b559edf29d1e1a0e5e731_640x480.jpg
https://mashina.kg/details/bmw-x7-69f9ff43cdd84134308434,BMW X7 I (G07) Рестайлинг,98500,8613825,2023,9000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/c/8/1c8c02bcf0e2f304fc123210a8f2136b_640x480.jpg
https://mashina.kg/details/toyota-rav4-6a09d9ac1a669d302bd7d36b,Продажа Toyota RAV4 V (XA50) 2020,24500,2142525,2020,87000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036201/d35766842f31bd76ec27b7c36c88fc87_medium.webp
https://mashina.kg/details/toyota-mark-ii-69dfc487a24b8633530932,Toyota Mark II IX (X110),5500,480975,2003,290000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/5/e/d5e6bf7ede633763180d238c968460d1_640x480.jpg
https://mashina.kg/details/mercedesbenz-eklass-69fb2ee9a2cf4125956165,"Mercedes-Benz E-Класс II (W210, S210) Рестайлинг",8300,725835,2000,260000,3.2 л.,автомат,с. Ивановка,https://im.mashina.kg/tachka/images/9/e/b/9eb87b0cdbee8bcee1a94beaf184ba16_640x480.jpg
https://mashina.kg/details/toyota-camry-6a037a27261fc6e2ecb3ae89,Продажа Toyota Camry VIII (XV70) 2018,19600,1714020,2018,99000,2.5 л.,автомат,Талас,https://storage.mashina.kg/catalog/images/2026-05-12/10030571/2d57bf3159bb3fd571cc17f93f7b1f17_medium.webp
https://mashina.kg/details/toyota-camry-69bbce8416a68347483225,Toyota Camry VIII (XV70),16300,1425435,2019,194000,2.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/1/b/b1b3440c7fc8a7ac78a0a6a56401cb80_640x480.jpg
https://mashina.kg/details/toyota-camry-6a09c8c5769acffeef5d2fbd,Продажа Toyota Camry VII (XV50) 2012,12300,1075635,2012,233000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036105/f623592cbd68a51c8b88ac9a86793455_medium.webp
https://mashina.kg/details/bmw-5-serii-6a09c796f064a3cc4e3cad8d,Продажа BMW 5 серии VII (G30/G31) Рестайлинг 2021,33500,2929575,2021,82000,2.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036098/d6feb5deaf1b8dfa56f0f4a86594e5d4_medium.webp
https://mashina.kg/details/toyota-rav4-6a016a85db1ab764478529,Toyota RAV4 V (XA50),33300,2912085,2026,13,2.0 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/3/6/b/36b7beb1e79f19f0c831b45f09ce6621_640x480.jpg
https://mashina.kg/details/neta-u-6a096aa8729e7e4b0571caeb,Продажа Neta U 2022,13722,1200000,2022,109000,,,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035604/375e8c8fbbf447c4ae4274ffc781876e_medium.webp
https://mashina.kg/details/honda-inspire-6a09afc250ee627a1691944e,Продажа Honda Inspire IV 2004,10300,900735,2004,272000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035986/9680db7362f81fd5f000b3814f855e3c_medium.webp
https://mashina.kg/details/ssangyong-tivoli-6a09af7d8561d7934daf331e,Продажа SsangYong Tivoli I Рестайлинг 2019,10800,944460,2019,179000,1.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035985/1fca4f863298adbe7385af850b4e28df_medium.webp
https://mashina.kg/details/chevrolet-malibu-69f1c8e756394618264082,Chevrolet Malibu IX,10000,874500,2018,155000,1.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/c/0/9c037a5337d6cdbf1c98ef01d4d2868b_640x480.jpg
https://mashina.kg/details/bmw-x5-6a09971fa283337349de1615,Продажа BMW X5 IV (G05/G18) 2019,44500,3891525,2019,87000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035869/da2b56d167e1e45c91d89b59200ad05b_medium.webp
https://mashina.kg/details/toyota-land-cruiser-prado-69c8aed5adec7173780716,Toyota Land Cruiser Prado 120 Series,21500,1880175,2008,267000,4.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/e/a/3/ea334994cc48f2166f09ce5ea7b85b04_640x480.jpg
https://mashina.kg/details/lexus-lx-6a098c4a5870e01df244d3af,Продажа Lexus LX III Рестайлинг 2012,40500,3541725,2012,280000,5.7 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035808/2ea54aa78114e6b271a654703759703d_medium.webp
https://mashina.kg/details/toyota-camry-6a0984b557efe459819c345a,Продажа Toyota Camry VIII (XV70) 2018,16900,1477905,2018,116000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035757/324e57763f29a7329136c2c5f1a71a00_medium.webp
https://mashina.kg/details/kia-k5-6a0402ec602cb756d53bfeb4,Продажа Kia K5 II 2018,12500,1093125,2018,94000,2.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-14/10030832/51fd0aaba959879d5ff3fdf0edb4c932_medium.webp
https://mashina.kg/details/subaru-outback-6a097a90e2ebbef6255d8d96,Продажа Subaru Outback VI 2022,20600,1801470,2022,149800,2.5 л.,вариатор,Бишкек,/static/svg/empty.svg
https://mashina.kg/details/bmw-x3-m-6a09710a4bf573dfae57face,Продажа BMW X3 M I (F97) 2019,46500,4066425,2019,84000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035642/aeec3bc4e78536bca9392f6e4b7587bb_medium.webp
https://mashina.kg/details/lixiang-l6-6a096c16578d45fd1d8c6b91,Продажа LiXiang L6 2025,32300,2824635,2025,10000,1.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035613/da45407957c0d12c3ca56065e0c8bea6_medium.webp
https://mashina.kg/details/hyundai-sonata-6a0956e830a1a49fcf915f44,Продажа Hyundai Sonata VIII (DN8) 2021,12800,1119360,2021,27000,2.5 л.,робот,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035521/2c423e0589ba286b7a27e07fbdd43f39_medium.webp
https://mashina.kg/details/changan-qiyuan-q05-6a094a513aa27447d8fb4f95,Продажа Changan Qiyuan Q05 II 2026,14400,1259280,2026,50,,,Бишкек,/static/svg/empty.svg
https://mashina.kg/details/kia-k3-69ef87bb8dcd9974829045,Kia K3 II,12300,1075635,2019,123000,1.6 л.,робот,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/4544928/b1e0d685817e3023f45cf4131869e272_medium.webp
https://mashina.kg/details/kia-k5-6a092def0900bff16ec439a6,Продажа Kia K5 III 2021,15800,1381710,2021,153000,2.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035410/9aaf37903326e54e95f240151c9592ec_medium.webp
https://mashina.kg/details/lexus-gx-6a090cd31a96ed75d9b43227,Продажа Lexus GX II Рестайлинг 2 2020,49000,4285050,2020,136000,4.6 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035380/61232a06d9fec2a1b6b0f85113444ff8_medium.webp
https://mashina.kg/details/toyota-highlander-6918537389811830208886,Toyota Highlander III (U50) Рестайлинг,26500,2317425,2019,84000,3.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/c/9/c/c9c2988d07a3702b0ef4ea71dcb13d3a_640x480.jpg
https://mashina.kg/details/toyota-camry-6a08ab4839862bb98d6981d5,Продажа Toyota Camry VII (XV50) Рестайлинг 2 2017,18199,1591503,2017,183000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-16/10035295/075eec91a7f60ec3a0f81384fd7c290b_medium.webp
https://mashina.kg/details/subaru-forester-6a01d9c8d6f81299639251,Subaru Forester V,15500,1355475,2020,125528,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/d/7/5/d75ad110c3db0a2333b8a7168ff17064_640x480.jpg
https://mashina.kg/details/toyota-avalon-69f1d0fca5d42420690798,Toyota Avalon V,24500,2142525,2019,86500,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/a/d/4/ad441e7555a179c1bdcedbdad67747de_640x480.jpg
https://mashina.kg/details/bmw-x5-6a0877cc93be0beb8b04452c,Продажа BMW X5 III (F15) 2018,24700,2160015,2018,180000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-16/10035092/cab779a4f8388ccf5352eb108d26ce93_medium.webp
https://mashina.kg/details/tesla-model-y-6a081f6067f26ff1c8c9ccc0,Продажа Tesla Model Y I 2025,29000,2536050,2025,7500,,,Ош,https://storage.mashina.kg/catalog/images/2026-05-16/10034698/068f36bb2d13a9e40ba0fe4357091c5e_medium.webp
https://mashina.kg/details/lixiang-l7-6a07b584142678c098e10776,Продажа LiXiang L7 Рестайлинг 2025,43500,3804075,2025,2500,1.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-16/10034413/60b4a5eabf67eea84b60b7ec5de6f605_medium.webp
https://mashina.kg/details/mercedesbenz-sklass-69bd3a7c91e4d529475002,Mercedes-Benz S-Класс V (W221) Рестайлинг,13500,1180575,2011,176902,5.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/4/8/d48ee309091fa8d88a879b499b6ec838_640x480.jpg
https://mashina.kg/details/kia-morning-69f82f75e6014173286509,Kia Morning III,6800,594660,2017,110534,1.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/0/2/3/023c35421e9718820c0d9c6ab608a90d_640x480.jpg
https://mashina.kg/details/toyota-sequoia-6a075ccfec95968a37c3da20,Продажа Toyota Sequoia II 2008,29000,2536050,2008,270000,5.7 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034329/11b8972691634ce006227b4c8c830735_medium.webp
https://mashina.kg/details/toyota-highlander-6a070e548ebd65c328a24d1e,Продажа Toyota Highlander III (U50) Рестайлинг 2019,25500,2229975,2019,100000,3.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034028/d47c145a27d008ad35a43f86696d6345_medium.webp
https://mashina.kg/details/bmw-x7-6a06d58637dc404a83673de9,Продажа BMW X7 I (G07) Рестайлинг 2022,108000,9444600,2022,60000,4.4 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10033680/e3f11a3b827064df5b856ab6679c4925_medium.webp
https://mashina.kg/details/lexus-lx-6a05e8741f896f7d9fc344a2,Продажа Lexus LX IV 2026,190000,16615500,2026,15,3.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-14/10032952/298facde032f7224812895855cd7b937_medium.webp
https://mashina.kg/details/chevrolet-tahoe-69fcc308f21f5754632409,Chevrolet Tahoe V,62500,5465625,2022,15000,6.2 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/b/1/1b11263d05cbe8f1fb132c766be7f824_640x480.jpg
https://mashina.kg/details/lexus-ls-69fdce7f6c748714602822,Lexus LS III Рестайлинг,10800,944460,2004,293000,4.3 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/d/7/bd7afce9222b410cdf1483a2f43ffb24_640x480.jpg
https://mashina.kg/details/mercedes-benz-s-klass-amg-68b59a75b3ccc943949527,Mercedes-Benz S-Класс AMG I (W220) Рестайлинг,25555,2234785,2004,211000,5.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/e/0/be0912a7f97f4fd666b012d07537f5df_640x480.jpg
https://mashina.kg/details/bmw-x5-69ff818b46284395829389,BMW X5 IV (G05/G18) Рестайлинг,104000,9094800,2023,49000,4.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/b/2/db2d5781f8c0e860bf0740f636055693_640x480.jpg
https://mashina.kg/details/toyota-tundra-6988701fe1600246963764,Toyota Tundra II Рестайлинг,45000,3935250,2018,177000,5.7 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/2/1/9/2194bbfb24bb1208a54ea4e9b9ea9086_640x480.jpg
https://mashina.kg/details/bmw-x5-69fb7429d1100731002254,BMW X5 IV (G05/G18),63500,5553075,2020,72000,4.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/b/4/db4f6b40751874e9cfe37acc5a4e2bda_640x480.jpg
https://mashina.kg/details/bmw-5-serii-69fcad4449b00250084707,BMW 5 серии VII (G30/G31) Рестайлинг,37000,3235650,2021,50000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/1/f/11fe3c554a997f09dfa13bdcd7c8b33f_640x480.jpg
https://mashina.kg/details/bmw-x7-69e21501682b3374043910,BMW X7 I (G07),83000,7258350,2022,18300,4.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/1/7/117a8e96c0f30db11c2c24f5d7ad7d68_640x480.jpg
